DINFLAG,BENZ,BENZ2,BENZ3,BRAND,ALTNO,ALTNO2,COLORCODE,REMARKS,DATE,COST,SELL,QTY,CURRENCY,FCAMOUNT,CONVERSION,LOCATION
,,,,GLYCO,H 801/5 (.75),,,,12/31/1989,0.00,970.00,1,,0.00,0.00,
,116 030 00 40,116 030 05 40,,GLYCO,H 801/5 (STD),,,,04/18/1990,810.00,1150.00,1,,0.00,0.00,
,,,,GLYCO,H 801/5 (STD),,,,01/02/1991,0.00,1750.00,0,,0.00,0.00,
,,,,GLYCO,H 801/5 (STD),,,,01/02/1992,0.00,1750.00,0,,0.00,0.00,
,,,,GLYCO,H 818/7 (.25),,,,01/02/1992,0.00,5700.00,0,,0.00,0.00,
,,,,GLYCO,H 818/7 (.50),,,,04/18/1990,2678.00,3800.00,4,,0.00,0.00,
,,,,GLYCO,H 818/7 (.75),,,,04/18/1990,2878.00,4000.00,1,,0.00,0.00,
,,,,GLYCO,H 818/7 (1.00),,,,04/18/1990,2878.00,4000.00,3,,0.00,0.00,
,,,,GLYCO,H 818/7 (STD.),,,,01/02/1992,0.00,5650.00,0,,0.00,0.00,
,,,,GLYCO,H 843/5 (.25),,,,05/23/1991,1103.00,1750.00,0,,0.00,0.00,
,,,,GLYCO,H 843/5 (.25),,,,02/02/1993,1196.00,1750.00,2,,0.00,0.00,
,,,,GLYCO,H 843/5 (.50),,,,08/26/1992,1393.00,2100.00,1,,0.00,0.00,
,,,,GLYCO,H 843/5 (.75),,,,08/26/1992,1495.00,2280.00,0,,0.00,0.00,
,,,,GLYCO,H 843/5 (STD.),,,,12/31/1989,0.00,745.00,7,,0.00,0.00,
,,,,GLYCO,H 859/7 (.25),,,,12/31/1989,0.00,1350.00,0,,0.00,0.00,
,,,,GLYCO,H 859/7 (.50),,,,12/31/1989,0.00,1350.00,0,,0.00,0.00,
,,,,GLYCO,H 859/7 (.50),,,,05/23/1991,1372.00,2200.00,0,,0.00,0.00,
,,,,GLYCO,H 859/7 (.75),,,,04/18/1990,1219.00,1700.00,1,,0.00,0.00,
,,,,GLYCO,H 859/7 (1.00),,,,12/31/1989,0.00,1400.00,0,,0.00,0.00,
,,,,GLYCO,H 859/7 (STD.),,,,02/02/1993,1443.00,2500.00,0,,0.00,0.00,
,,,,GLYCO,H 914/5 (.25),,,,08/26/1992,990.00,1500.00,0,,0.00,0.00,
,,,,GLYCO,H 914/5 (.25),,,,10/25/1993,966.00,1700.00,0,,0.00,0.00,
,,,,GLYCO,H 914/5 (.50),,,,12/31/1989,0.00,750.00,1,,0.00,0.00,
,,,,GLYCO,H 914/5 (.75),,,,12/31/1989,0.00,750.00,0,,0.00,0.00,
,,,,GLYCO,H 914/5 (.75),,,,05/23/1991,865.00,1400.00,0,,0.00,0.00,
,,,,GLYCO,H 914/5 (.75),,,,01/02/1992,0.00,1400.00,0,,0.00,0.00,
,,,,GLYCO,H 914/5 (STD.),,,,02/02/1993,824.00,1350.00,0,,0.00,0.00,
,,,,GLYCO,H 914/6 (.25),,,,08/26/1992,1140.00,1735.00,0,,0.00,0.00,
,,,,GLYCO,H 914/6 (.25),,,,10/25/1993,1113.00,1950.00,0,,0.00,0.00,
,,,,GLYCO,H 914/6 (.50),,,,10/25/1993,1113.00,1950.00,0,,0.00,0.00,
